,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
0,Touma Kishinden Oni,J.C.Staff,TV,Supernatural,,173,1995,2366
1,Sabaku no Kaizoku! Captain Kuppa,,TV,Action|Adventure,,124,2001,4940
2,On Air Dekinai!,Space Neko Company|Jinnan Studio,TV,Comedy,,0,2022,50285
3,Uchi no 3 Shimai,Toei Animation|Daewon Media,TV,Comedy|Slice of Life,,163,2008,3975
4,Running Man,,TV,Action|Adventure|Kids,,47,2017,36036
5,Watanuki-san Chi to,,TV,Slice of Life,,113,2020,41426
6,Shuimu Xuetang 2nd Season,,TV,Comedy|Kids,,17,2009,49065
7,Canimals,,TV,Comedy|Kids,,47,2011,48335
8,Panpaka Pants O-New!,DLE,TV,Comedy|Kids,,78,2015,30417
9,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,,TV,Sci-Fi|Sports|Super Power|Kids,,83,2018,38138
10,Fuwafuwa Hour: Pui Pui & Muu Muu,,TV,Fantasy|Kids,,0,2017,36506
11,Space Bug,Studio W.Baba|P.I.C.S.,TV,Adventure|Space,,112,2018,37787
12,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,,TV,Action|Adventure|Comedy|Fantasy|Romance,,0,2022,47164
13,Bakujuu Gasshin Ziguru Hazeru,Production Reed,TV,Action|Mecha,,110,2013,18227
14,Miracle! Mimika,Digital Media Lab,TV,Gourmet|Slice of Life|Kids,,123,2006,5374
15,Fuwa no go renkan,,TV,Historical,,30,2007,40273
16,Norimono Man: Mobile Land no Car-kun,CloverWorks,TV,Comedy|Slice of Life|Cars|Kids,,0,2020,41384
17,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season Part 2",SILVER LINK.,TV,Action|Fantasy|Demons|School,,0,0,48418
18,Grisaia: Phantom Trigger the Animation (TV),Bibury Animation Studios,TV,Action|School,,0,0,51119
19,Akindo Sei no Little Peso,Fanworks,TV,Comedy|Sci-Fi,,98,2017,34928
20,RPG Fudousan,Doga Kobo,TV,Comedy|Fantasy|Slice of Life,,0,2022,48363
21,Kindan Joshi,,TV,Comedy|Romance,,134,2020,45596
22,Kick & Slide,,TV,Music|Kids,,64,2021,49221
23,Hyouga Senshi Gaislugger,Toei Animation,TV,Action|Sci-Fi|Mecha,,164,1977,9781
24,Hyper Positive Yogoremon,FIREBUG,TV,Comedy,,61,2021,48770
25,Chuldong! Super Wings,,TV,Adventure|Cars|Kids,,145,2013,38525
26,Caribadix 2nd Season,,TV,Comedy|Music,,54,2018,37653
