,animeA,num_recommenders
0,20955,
1,40761,
2,31675,
3,33455,
4,37980,
5,34389,
6,32191,
7,49510,
8,30305,
9,30813,
10,10491,
11,33119,
12,36517,
13,50315,
14,30921,
15,49057,
16,23341,
17,8068,
18,6971,
19,21541,
20,17897,
21,35500,
22,34872,
23,38021,
24,32476,
25,10501,
26,33360,
27,20359,
28,37860,
29,40034,
30,5147,
31,34541,
32,2006,
33,49661,
34,2868,
35,6731,
36,48589,
37,24781,
38,33569,
39,38331,
40,39529,
41,39931,
42,40712,
43,50414,
44,40083,
45,9627,
46,40748,
47,2057,
48,33708,
49,19573,
50,39659,
51,51263,
52,21607,
53,50251,
54,16472,
55,34647,
56,42129,
57,33903,
58,33200,
59,34389,
60,41574,
61,35306,
62,30016,
63,38784,
64,19391,
65,1668,
66,32151,
67,34332,
68,40473,
69,33669,
70,38837,
71,38676,
72,17897,
73,30450,
74,36639,
75,34284,
76,35122,
77,43745,
78,17137,
79,50275,
80,4399,
81,34710,
82,10909,
83,33724,
84,35267,
85,19391,
86,48859,
87,5324,
88,3784,
89,36022,
90,17791,
91,30018,
92,9393,
93,3785,
94,10607,
95,23361,
96,22675,
97,29729,
98,40181,
99,12851,
100,37307,
101,2229,
102,35501,
103,40861,
104,30537,
105,49395,
106,51153,
107,28805,
108,2389,
109,37622,
110,9958,
111,2356,
112,9289,
113,1799,
114,32147,
115,395,
116,6970,
117,37362,
118,38055,
119,37278,
120,6875,
121,40342,
122,34763,
123,644,
124,36714,
125,1678,
126,41063,
127,49395,
128,40761,
129,37472,
130,2298,
131,49396,
132,41782,
133,32511,
134,24415,
135,49291,
136,1092,
137,8190,
138,22817,
139,3734,
140,38784,
141,14353,
142,10937,
143,38055,
144,6971,
145,39591,
146,34764,
147,17267,
148,38850,
149,38021,
150,35658,
151,37096,
152,10909,
153,33903,
154,31251,
155,36064,
156,40250,
157,33558,
158,38085,
159,29583,
160,36624,
161,30,
162,37562,
163,10573,
164,32511,
165,37843,
166,48896,
167,34973,
168,36646,
169,35267,
170,39935,
171,3444,
172,32737,
173,31050,
174,32147,
175,46420,
176,23831,
177,2123,
178,37662,
179,38086,
180,6702,
181,8038,
182,32681,
183,40761,
184,36915,
185,36529,
186,6948,
187,918,
188,21855,
189,8624,
190,3366,
191,2355,
192,37662,
193,29832,
194,38600,
195,38400,
196,24997,
197,50203,
198,25939,
199,36064,
200,39416,
201,36915,
202,37831,
203,34845,
204,1668,
205,30745,
206,51234,
207,37622,
208,33149,
209,10937,
210,19285,
211,36456,
212,34787,
213,41030,
214,16894,
215,38958,
216,33997,
217,19961,
218,30311,
219,32,
220,38027,
221,17707,
222,3318,
223,39014,
224,29035,
225,39277,
226,32191,
227,39416,
228,37814,
229,37818,
230,33720,
231,281,
232,39762,
233,36805,
234,37814,
235,35283,
236,33720,
237,35191,
238,48918,
239,28013,
240,49661,
241,31055,
242,33970,
243,37860,
244,39935,
245,35198,
246,38632,
247,34321,
248,49396,
249,18121,
250,23775,
251,147,
252,37980,
253,37431,
254,31647,
255,37283,
256,18153,
257,30777,
258,51013,
259,38784,
260,32927,
261,5270,
262,32148,
263,39659,
264,3915,
265,21743,
266,28755,
267,37124,
268,32681,
269,30514,
270,37860,
271,36914,
272,32148,
273,29035,
274,1398,
275,37626,
276,19849,
277,36339,
278,918,
279,19489,
280,37215,
281,1342,
282,10937,
283,39839,
284,30122,
285,35854,
286,20667,
287,9735,
288,38683,
289,38632,
290,41096,
291,35454,
292,23943,
293,35843,
294,30122,
295,34844,
296,30122,
297,33489,
298,35067,
299,38299,
300,1341,
301,10012,
302,40298,
303,35306,
304,4130,
305,12851,
306,35307,
307,42391,
308,36186,
309,10954,
310,15781,
311,33922,
312,28853,
313,40861,
314,20159,
315,34489,
316,49730,
317,246,
318,41030,
319,3784,
320,20667,
321,42476,
322,1525,
323,36927,
324,3444,
325,20,
326,39249,
327,36186,
328,30344,
329,35883,
330,19157,
331,38084,
332,30757,
333,1091,
334,21479,
335,41590,
336,35283,
337,16442,
338,34238,
339,29687,
340,49119,
341,21479,
342,44248,
343,41030,
344,9893,
345,40469,
346,28755,
347,33569,
348,41063,
349,13231,
350,49211,
351,37143,
352,32359,
353,35843,
354,37431,
355,51222,
356,33183,
357,41136,
358,37285,
359,13817,
360,44191,
361,39993,
362,28257,
363,19165,
364,38389,
365,37501,
366,36551,
367,12221,
368,20,
369,30912,
370,10686,
371,35310,
372,34161,
373,16419,
374,37143,
375,36914,
376,281,
377,38784,
378,30122,
379,44191,
380,21695,
381,36724,
382,94,
383,35716,
384,36064,
385,38086,
386,12851,
387,38850,
388,28669,
389,9893,
390,34514,
391,37143,
392,3692,
393,35287,
394,38672,
395,41063,
396,34314,
397,7472,
398,19157,
399,35632,
400,35206,
401,37285,
402,33669,
403,3545,
404,35307,
405,11741,
406,35309,
407,35305,
408,1856,
409,35306,
410,11695,
411,34100,
412,40351,
413,34905,
414,35716,
415,39592,
416,34321,
417,6336,
418,34566,
419,39697,
420,3784,
421,35308,
422,35306,
423,43745,
424,3784,
425,35716,
426,35307,
427,281,
428,30,
429,35310,
430,2298,
431,18679,
432,14347,
433,32739,
434,4130,
435,31750,
436,30,
437,2759,
438,33871,
439,19261,
440,5270,
441,42136,
442,9107,
