,Title,Studios,Genres,Rank,Completed_count,Year,Anime_id
0,Touma Kishinden Oni,J.C.Staff,Supernatural,0,173,1995,2366
1,Sabaku no Kaizoku! Captain Kuppa,,Action|Adventure,0,124,2001,4940
2,On Air Dekinai!,Space Neko Company|Jinnan Studio,Comedy,0,0,2022,50285
3,Uchi no 3 Shimai,Toei Animation|Daewon Media,Comedy|Slice of Life,0,163,2008,3975
4,Running Man,,Action|Adventure|Kids,0,47,2017,36036
5,Watanuki-san Chi to,,Slice of Life,0,113,2020,41426
6,Shuimu Xuetang 2nd Season,,Comedy|Kids,0,17,2009,49065
7,Canimals,,Comedy|Kids,0,47,2011,48335
8,Panpaka Pants O-New!,DLE,Comedy|Kids,0,78,2015,30417
9,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,,Sci-Fi|Sports|Super Power|Kids,0,83,2018,38138
10,Fuwafuwa Hour: Pui Pui & Muu Muu,,Fantasy|Kids,0,0,2017,36506
11,Space Bug,Studio W.Baba|P.I.C.S.,Adventure|Space,0,112,2018,37787
12,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,,Action|Adventure|Comedy|Fantasy|Romance,0,0,2022,47164
13,Bakujuu Gasshin Ziguru Hazeru,Production Reed,Action|Mecha,0,110,2013,18227
14,Miracle! Mimika,Digital Media Lab,Gourmet|Slice of Life|Kids,0,123,2006,5374
15,Fuwa no go renkan,,Historical,0,30,2007,40273
16,Norimono Man: Mobile Land no Car-kun,CloverWorks,Comedy|Slice of Life|Cars|Kids,0,0,2020,41384
17,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season Part 2",SILVER LINK.,Action|Fantasy|Demons|School,0,0,0,48418
18,Grisaia: Phantom Trigger the Animation ,Bibury Animation Studios,Action|School,0,0,0,51119
19,Akindo Sei no Little Peso,Fanworks,Comedy|Sci-Fi,0,98,2017,34928
20,RPG Fudousan,Doga Kobo,Comedy|Fantasy|Slice of Life,0,0,2022,48363
21,Kindan Joshi,,Comedy|Romance,0,134,2020,45596
22,Kick & Slide,,Music|Kids,0,64,2021,49221
23,Hyouga Senshi Gaislugger,Toei Animation,Action|Sci-Fi|Mecha,0,164,1977,9781
24,Hyper Positive Yogoremon,FIREBUG,Comedy,0,61,2021,48770
25,Chuldong! Super Wings,,Adventure|Cars|Kids,0,145,2013,38525
26,Caribadix 2nd Season,,Comedy|Music,0,54,2018,37653
27,Uwabaki Cook no Tekitou Uranai!,,Comedy,0,92,2015,30605
28,Jashin-chan Dropkick X,,Comedy|Supernatural,0,0,2022,42994
29,Isekai Shoukan wa Nidome desu,,Action|Adventure|Comedy|Fantasy|Romance|Harem,0,0,0,50220
30,Sai Er Hao Season 11: Liekong Canghai,,Kids,0,15,2021,49920
31,Totsugeki! Pappara-tai,Magic Bus,Action|Adventure|Comedy|Romance|Sci-Fi,0,153,1998,5278
32,"Komi-san wa, Comyushou desu. 2nd Season",,Comedy|Drama|Slice of Life|School|Shounen,0,0,2022,50631
33,Kawauso Labo,Kachidoki Studio,Comedy,0,37,2019,39007
34,Poccolies,Kachidoki Studio,Slice of Life|Kids,0,42,2020,41101
35,Otona no Ikkyuu-san 2nd Season,,Comedy|Historical,0,57,2017,36002
36,Pink Lady Monogatari: Eikou no Tenshi-tachi,Toei Animation,Drama|Slice of Life|Music,0,86,1978,17423
37,Ninja Tamamaru: Toukaidou Gojuusan-ji,,Martial Arts|Kids,0,41,2009,35108
38,Kyuumei Senshi Nanosaver,,Adventure|Shounen,0,76,1997,27393
39,Wankorobee,Ajia-Do|TMS Entertainment,Comedy|Fantasy|Kids,0,74,1996,2708
40,"Anoyo no Subete wa, Obake-gumi!",,Comedy|Supernatural,0,36,2020,41440
41,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Comedy|Slice of Life,0,0,2012,30151
42,Zhu Zhu Xia: Zhong Ji Jue Zhan - Qian Ye Pian,,Sci-Fi|Super Power|Kids,0,85,2015,38136
43,Chi-Sui Maru,,Comedy,0,117,2010,8025
44,Telemonster,,Adventure,0,56,2016,32585
45,Kkoma Sinseon Tao,,Kids,0,56,2009,35364
46,Hataraku Maou-sama! 2nd Season,Studio 3Hz,Comedy|Fantasy|Romance|Supernatural|Demons,0,0,2022,48413
